"Gene Id",Symbol,Description,CD4,CD4,CD8,CD8,CD14,CD14,CD19,CD19
3105,HLA-A,"major histocompatibility complex, class I, A",0.255836772405231,-3.09516073329309,0.273700724692753,3.21046739126494,"","",0.248746177212825,0.945495124198001
3106,HLA-B,"major histocompatibility complex, class I, B",0.0601156683679431,2.13400268310215,0.0327269790149034,-2.74965150000722,"","","",""
3107,HLA-C,"major histocompatibility complex, class I, C",0.499553342210443,-0.607131943023498,0.825680339781923,-0.249056258887405,"","",0.48729386307091,0.659780838483714
3108,HLA-DMA,"major histocompatibility complex, class II, DM alpha","","","","","","","",""
3109,HLA-DMB,"major histocompatibility complex, class II, DM beta","","","","","","","",""
3111,HLA-DOA,"major histocompatibility complex, class II, DO alpha","","","","","","","",""
3112,HLA-DOB,"major histocompatibility complex, class II, DO beta","","","","","","","",""
3113,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1","","","","","","","",""
3115,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1","","","","","","",0.478922927520679,0.659780838483715
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1","","","","","","","",""
3118,HLA-DQA2,"major histocompatibility complex, class II, DQ alpha 2","","","","","","","",""
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1","","","","","","","",""
3122,HLA-DRA,"major histocompatibility complex, class II, DR alpha","","","","","","","",""
3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1","","","","","","","",""
3125,HLA-DRB3,"major histocompatibility complex, class II, DR beta 3","","","","","","","",""
3126,HLA-DRB4,"major histocompatibility complex, class II, DR beta 4","","","","","","","",""
3127,HLA-DRB5,"major histocompatibility complex, class II, DR beta 5","","","","","","","",""
3133,HLA-E,"major histocompatibility complex, class I, E","","","","","","","",""
3134,HLA-F,"major histocompatibility complex, class I, F","","","","","","","",""
3135,HLA-G,"major histocompatibility complex, class I, G","","","","","","","",""
3265,HRAS,"HRas proto-oncogene, GTPase","","","","","","","",""
331,XIAP,"X-linked inhibitor of apoptosis","","","","","","","",""
3383,ICAM1,"intercellular adhesion molecule 1","","","","","","","",""
3551,IKBKB,"inhibitor of nuclear factor kappa B kinase subunit beta","","","","","","","",""
3554,IL1R1,"interleukin 1 receptor type 1","","","","","","","",""
3558,IL2,"interleukin 2","","","","","","","",""
3559,IL2RA,"interleukin 2 receptor subunit alpha","","","","","","","",""
3560,IL2RB,"interleukin 2 receptor subunit beta","","","","","","","",""
3561,IL2RG,"interleukin 2 receptor subunit gamma","","","","","","","",""
3569,IL6,"interleukin 6","","","","","","","",""
3600,IL15,"interleukin 15","","","","","","","",""
3601,IL15RA,"interleukin 15 receptor subunit alpha","","","","","","","",""
3683,ITGAL,"integrin subunit alpha L","","",0.224800861336887,-1.35798483074172,"","","",""
3689,ITGB2,"integrin subunit beta 2","","",0.105696840247284,-2.23298483074172,0.857880076327935,0.181975860408713,"",""
3716,JAK1,"Janus kinase 1","","","","","","","",""
3718,JAK3,"Janus kinase 3","","","","","","","",""
3725,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit","","","","","","","",""
3845,KRAS,"KRAS proto-oncogene, GTPase","","","","","","","",""
387332,TBPL2,"TATA-box binding protein like 2","","","","","","","",""
3932,LCK,"LCK proto-oncogene, Src family tyrosine kinase","","","","","","","",""
4049,LTA,"lymphotoxin alpha","","","","","","","",""
4055,LTBR,"lymphotoxin beta receptor","","","","","","","",""
4085,MAD2L1,"mitotic arrest deficient 2 like 1","","","","","","","",""
4087,SMAD2,"SMAD family member 2","","","","","","","",""
4088,SMAD3,"SMAD family member 3","","","","","","","",""
4089,SMAD4,"SMAD family member 4","","","","","","","",""
4214,MAP3K1,"mitogen-activated protein kinase kinase kinase 1","","","","","","","",""
4215,MAP3K3,"mitogen-activated protein kinase kinase kinase 3","","","","","","","",""
4316,MMP7,"matrix metallopeptidase 7","","","","","","","",""
4487,MSX1,"msh homeobox 1","","","","","","","",""
4488,MSX2,"msh homeobox 2","","","","","","","",""
4609,MYC,"MYC proto-oncogene, bHLH transcription factor","","","","","","","",""
468,ATF4,"activating transcription factor 4","","","","","","","",""
472,ATM,"ATM serine/threonine kinase","","","","","","","",""
4772,NFATC1,"nuclear factor of activated T cells 1","","","","","","","",""
4773,NFATC2,"nuclear factor of activated T cells 2","","","","","","","",""
4775,NFATC3,"nuclear factor of activated T cells 3","","","","","","","",""
4776,NFATC4,"nuclear factor of activated T cells 4","","","","","","","",""
4790,NFKB1,"nuclear factor kappa B subunit 1","","","","","","","",""
4791,NFKB2,"nuclear factor kappa B subunit 2","","","","","","","",""
4792,NFKBIA,"NFKB inhibitor alpha","","","","","","","",""
4801,NFYB,"nuclear transcription factor Y subunit beta","","","","","","","",""
4893,NRAS,"NRAS proto-oncogene, GTPase","","","","","","","",""
51433,ANAPC5,"anaphase promoting complex subunit 5","","","","","","","",""
51434,ANAPC7,"anaphase promoting complex subunit 7","","","","","","","",""
51529,ANAPC11,"anaphase promoting complex subunit 11","","","","","","","",""
5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","","","","","","","",""
5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","","","","","","","",""
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","","","","","","","",""
5295,PIK3R1,"phosphoinositide-3-kinase regulatory subunit 1","","","","","","","",""
5296,PIK3R2,"phosphoinositide-3-kinase regulatory subunit 2","","","","","","","",""
5423,POLB,"DNA polymerase beta","","","","","","","",""
545,ATR,"ATR serine/threonine kinase","","","","","","","",""
5530,PPP3CA,"protein phosphatase 3 catalytic subunit alpha","","","","","","","",""
5532,PPP3CB,"protein phosphatase 3 catalytic subunit beta","","","","","","","",""
5533,PPP3CC,"protein phosphatase 3 catalytic subunit gamma","","","","","","","",""
5534,PPP3R1,"protein phosphatase 3 regulatory subunit B, alpha","","","","","","","",""
5535,PPP3R2,"protein phosphatase 3 regulatory subunit B, beta","","","","","","","",""
5566,PRKACA,"protein kinase cAMP-activated catalytic subunit alpha","","","","","","","",""
5567,PRKACB,"protein kinase cAMP-activated catalytic subunit beta","","","","","","","",""
5568,PRKACG,"protein kinase cAMP-activated catalytic subunit gamma","","","","","","","",""
55697,VAC14,"VAC14 component of PIKFYVE complex","","","","","","","",""
5594,MAPK1,"mitogen-activated protein kinase 1","","","","","","","",""
5595,MAPK3,"mitogen-activated protein kinase 3","","","","","","","",""
5599,MAPK8,"mitogen-activated protein kinase 8","","","","","","","",""
5601,MAPK9,"mitogen-activated protein kinase 9","","","","","","","",""
5602,MAPK10,"mitogen-activated protein kinase 10","","","","","","","",""
5604,MAP2K1,"mitogen-activated protein kinase kinase 1","","","","","","","",""
5605,MAP2K2,"mitogen-activated protein kinase kinase 2","","","","","","","",""
567,B2M,beta-2-microglobulin,0.132393454575887,1.6677127800649,0.00857567431976603,-3.78655625931315,"","",0.420008081279323,0.802637981340858
5728,PTEN,"phosphatase and tensin homolog","","","","","","","",""
581,BAX,"BCL2 associated X, apoptosis regulator",0.135870719923446,1.63199849435062,0.0770006399717181,-1.98298483074172,"","","",""
5901,RAN,"RAN, member RAS oncogene family",0.290722612371221,-3.24300150564939,0.899665486452435,-0.161556259313152,"","",0.348734688050322,-1.929504875802
5902,RANBP1,"RAN binding protein 1",0.0375874573913369,2.1677127800649,"","","","","",""
5925,RB1,"RB transcriptional corepressor 1","","","","","","","",""
595,CCND1,"cyclin D1","","","","","","","",""
5970,RELA,"RELA proto-oncogene, NF-kB subunit","","","","","","","",""
5971,RELB,"RELB proto-oncogene, NF-kB subunit","","","","","","","",""
598,BCL2L1,"BCL2 like 1","","","","","","","",""
6416,MAP2K4,"mitogen-activated protein kinase kinase 4","","","","","","","",""
64682,ANAPC1,"anaphase promoting complex subunit 1","","","","","","","",""
64764,CREB3L2,"cAMP responsive element binding protein 3 like 2","","","","","","","",""
64784,CRTC3,"CREB regulated transcription coactivator 3","","","","","","","",""
6513,SLC2A1,"solute carrier family 2 member 1","","","","","","",0.247579662302867,1.35620940991229
6688,SPI1,"Spi-1 proto-oncogene","","","","","","","",""
6722,SRF,"serum response factor","","","","","","","",""
6776,STAT5A,"signal transducer and activator of transcription 5A","","","","","","","",""
6777,STAT5B,"signal transducer and activator of transcription 5B","","","","","","","",""
6908,TBP,"TATA-box binding protein","","","","","","","",""
6929,TCF3,"transcription factor 3","","","","","","","",""
701,BUB1B,"BUB1 mitotic checkpoint serine/threonine kinase B","","","","","","","",""
7015,TERT,"telomerase reverse transcriptase","","","","","","","",""
7040,TGFB1,"transforming growth factor beta 1","","","","","","","",""
7042,TGFB2,"transforming growth factor beta 2","","","","","","","",""
7043,TGFB3,"transforming growth factor beta 3","","","","","","","",""
7046,TGFBR1,"transforming growth factor beta receptor 1","","","","","","","",""
7048,TGFBR2,"transforming growth factor beta receptor 2","","","","","","","",""
706,TSPO,"translocator protein","","","","","","","",""
7094,TLN1,"talin 1",0.0705220379183913,-7.43943007707795,0.339549416377372,3.99915802640114,0.301894136864754,4.64626157469442,0.571109600497263,1.58835226705514
7124,TNF,"tumor necrosis factor","","","","","","","",""
7132,TNFRSF1A,"TNF receptor superfamily member 1A","","","","","","","",""
7157,TP53,"tumor protein p53","","","","","","","",""
7416,VDAC1,"voltage dependent anion channel 1",0.000615618470325242,-8.22514436279224,0.266698998863753,2.5705865978297,0.306123708046911,-0.889452711019859,0.968110621509841,0.034780838483714
7417,VDAC2,"voltage dependent anion channel 2",0.121631370530108,1.50699849435062,0.0580908686344158,-2.23298483074172,"","","",""
7419,VDAC3,"voltage dependent anion channel 3",0.00828450317904355,-5.95728721993509,0.386458676132646,2.55272945497256,0.492723463717693,-0.639452711019858,0.484304032681747,0.659780838483714
7514,XPO1,"exportin 1","","","","","","","",""
7538,ZFP36,"ZFP36 ring finger protein","","","","","","","",""
7850,IL1R2,"interleukin 1 receptor type 2","","","","","","","",""
8061,FOSL1,"FOS like 1, AP-1 transcription factor subunit","","","","","","","",""
811,CALR,calreticulin,0.101770476719572,1.75699849435062,0.0804950099354358,-1.85798483074172,0.808361717173768,-0.246595568162715,"",""
821,CANX,calnexin,0.902247994948306,0.292712780064905,0.371065519899341,1.07058659782971,0.0300310931467322,3.34269014612299,0.603665185384906,-0.590219161516285
8295,TRRAP,"transformation/transcription domain associated protein","","","","","","","",""
83447,SLC25A31,"solute carrier family 25 member 31","","","","","","","",""
83660,TLN2,"talin 2","","","","","","","",""
8379,MAD1L1,"mitotic arrest deficient 1 like 1","","","","","","","",""
84699,CREB3L3,"cAMP responsive element binding protein 3 like 3","","","","","","","",""
8498,RANBP3,"RAN binding protein 3","","","","","","","",""
8503,PIK3R3,"phosphoinositide-3-kinase regulatory subunit 3","","","","","","","",""
8517,IKBKG,"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma","","","","","","","",""
8697,CDC23,"cell division cycle 23","","","","","","","",""
8829,NRP1,"neuropilin 1","","","","","","","",""
8850,KAT2B,"lysine acetyltransferase 2B","","","","","","","",""
8881,CDC16,"cell division cycle 16","","","","","","","",""
890,CCNA2,"cyclin A2","","","","","","","",""
8900,CCNA1,"cyclin A1","","","","","","","",""
894,CCND2,"cyclin D2","","","","","","","",""
896,CCND3,"cyclin D3","","","","","","","",""
898,CCNE1,"cyclin E1","","","","","","","",""
9020,MAP3K14,"mitogen-activated protein kinase kinase kinase 14","","","","","","","",""
90993,CREB3L1,"cAMP responsive element binding protein 3 like 1","","","","","","","",""
9133,CCNB2,"cyclin B2","","","","","","","",""
9134,CCNE2,"cyclin E2","","","","","","","",""
915,CD3D,"CD3d molecule",0.056004907401759,2.27485563720776,"","","","","",""
916,CD3E,"CD3e molecule","","","","","","","",""
917,CD3G,"CD3g molecule","","","","","","","",""
9184,BUB3,"BUB3 mitotic checkpoint protein","","","","","","","",""
920,CD4,"CD4 molecule","","","","","","","",""
9232,PTTG1,"PTTG1 regulator of sister chromatid separation, securin","","","","","","","",""
9519,TBPL1,"TATA-box binding protein like 1","","","","","","","",""
958,CD40,"CD40 molecule","","","","","","","",""
9586,CREB5,"cAMP responsive element binding protein 5","","","","","","","",""
9700,ESPL1,"extra spindle pole bodies like 1, separase","","","","","","","",""
991,CDC20,"cell division cycle 20","","","","","","","",""
996,CDC27,"cell division cycle 27","","","","","","","",""
