Protein Set;Annotation;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C21;C22;Z01;Z02;Z03;Z04;Z05;Z06;Z07;Z08;Z09;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;C03_2;C04_2;C05_2;C06_2;C07_2;C08_2;C09_2;C10_2;C11_2;C12_2;C13_2;C14_2;C15_2;C16_2;C17_2;C18_2
LDHB;L-lactate dehydrogenase B chain;30.315495;76.98089;19.61275;23.2902;49.9353;33.32255;26.919125;10.951475;44.935303;89.88677;73.25785;45.596573;50.8706;47.902954;79.59657;39.61275;111.90295;69.62892;111.31932;36.65775;17.992355;42.653923;36.65775;39.65775;43.988533;35.988533;27.992355;40.32314;92.30402;104.63099;29.315495;28.32314;67.307846;90.30403;103.30403;72.311676;91.63863;106.31932;103.31932;129.30785;67.3155;51.65775;59.32696;86.98853;54.241676;48.9353;74.88677;56.241676;22.25785;42.580402;67.88678;54.90295;62.564224;54.209324;52.274025;19.628925;93.564224;43.274025;89.2255;38.96765
HBB;Hemoglobin subunit beta;106.05705;43.593113;79.15919;84.37635;118.50834;38.333992;20.06145;11.372784;133.5804;158.29778;24.267994;39.92544;146.37233;33.064476;77.09623;66.56925;117.439316;90.4781;104.64101;109.610725;18.422743;79.92118;118.807144;68.34145;20.453022;81.50935;89.500916;45.636055;48.321373;35.302017;151.98842;76.046135;107.93385;116.0933;56.166862;81.190445;119.79201;59.752567;43.43788;55.447044;288.6421;191.67447;51.748344;70.031;53.823685;57.197983;95.82271;158.30534;60.380894;93.13404;134.2736;92.30785;96.024704;80.443855;76.25792;61.49871;141.7733;166.42923;60.371803;54.125927
TUBB4B;Tubulin beta-4B chain;1.271846;3.2743206;0.0;2.066634;4.5024867;2.67968;0.7126434;0.257553;0.53448343;0.3763196;3.4952774;0.7517645;3.6811793;1.8250325;9.834101;4.2325673;5.384143;8.903972;0.1201512;0.18039218;3.5120482;3.0217838;0.468928;2.9976878;7.0628147;1.1635982;2.0987563;0.56535506;4.041383;3.3826509;0.1684058;0.108185604;2.122853;5.0414653;8.253029;7.3418016;4.3298364;5.012293;7.637169;5.2936096;0.1923782;1.8943095;5.7310176;4.73566;3.4166925;3.3373208;1.7859586;2.6206784;3.317716;3.6940134;9.141175;6.398544;1.5087293;4.6089573;7.4581013;0.2180421;8.64218;5.5360584;1.5481248;2.336508
LMNB1;Lamin-B1;15.0;24.284307;17.0;8.0;27.0;31.0;25.0;0.0;25.613571;18.0;21.0;45.0;23.0;38.0;41.61357;30.0;27.067856;34.61357;11.0;4.0;21.0;22.0;28.0;29.0;54.0;19.0;17.0;24.0;34.0;35.56862;16.0;7.0;22.0;26.926462;30.0;32.0;50.92646;50.56862;30.926462;13.642155;28.28431;14.926462;28.284307;30.642155;16.613571;35.840714;41.454285;24.613571;27.613571;24.227142;39.840714;35.61357;34.0;51.227142;21.0;6.0;14.0;24.0;37.227142;31.0
HSP90AB1;Heat shock protein HSP 90-beta;18.707794;30.544706;6.969942;23.441332;34.625443;43.878006;34.841797;16.486073;35.30642;37.195442;41.06378;29.67993;23.512175;32.629097;31.639296;27.058662;37.687515;28.783726;30.194613;24.142794;8.774592;25.145212;29.58932;29.467789;46.445797;30.917404;22.040846;36.150536;23.478077;46.337833;21.59363;14.808728;31.715683;41.25147;40.515324;38.670883;36.319298;41.990856;34.643562;47.944523;21.43174;18.341785;25.86724;33.070652;33.927986;26.904408;34.09111;22.905045;33.017372;25.084671;42.541695;29.596844;32.645996;29.407318;32.231106;15.304253;38.724754;33.44195;37.30791;19.878307
YWHAZ;14-3-3 protein zeta/delta;24.4199;54.561424;19.720356;20.720356;43.724606;32.440716;44.580536;42.0085;35.72461;59.584785;63.01275;42.724606;45.72036;65.86868;67.44071;42.436462;80.86868;80.43646;93.41523;56.561424;69.84447;36.84914;42.702946;39.415234;54.410564;45.127518;35.702946;36.132187;62.556755;61.702946;68.844475;48.70762;55.84914;63.132183;70.556755;69.41524;74.27371;63.84447;69.84447;83.41523;60.70295;39.419903;44.70762;70.12752;60.86868;52.436462;65.584785;43.15257;40.580536;58.728855;52.72461;47.0085;56.86443;54.86868;52.86868;47.86868;70.01276;57.440716;55.72461;48.86443
HSPD1;60 kDa heat shock protein, mitochondrial;18.0;36.0;0.0;7.0;14.0;24.0;17.0;8.0;19.0;20.0;25.0;18.0;26.0;20.0;40.0;21.0;51.0;29.0;34.0;3.0;0.0;26.0;11.0;8.0;26.0;6.0;3.0;15.0;21.0;49.0;18.0;5.0;32.0;39.0;29.0;44.0;44.0;52.0;48.0;34.0;21.0;42.0;36.0;44.0;30.0;13.0;25.0;24.0;27.0;25.0;29.0;28.0;30.0;19.0;23.0;4.0;25.0;20.0;33.0;15.0
PLEC;Plectin;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;5.0;5.0;1.0;8.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;9.0;0.0;6.0;3.0;4.0;13.0;10.0;8.0;15.0;7.0;3.0;0.0;4.0;3.0;10.0;7.0;10.0;7.0;7.0;2.0;0.0;5.0;2.0;1.0;0.0;13.0;2.0;6.0;6.0;2.0;4.0
ATP5F1B;ATP synthase subunit beta, mitochondrial;21.0;45.0;0.0;0.0;44.0;34.0;29.0;6.0;25.0;28.0;44.0;28.0;28.0;35.0;62.0;40.0;59.0;50.0;36.0;7.0;5.0;31.0;31.0;37.0;70.0;29.0;20.0;42.0;44.0;63.0;22.0;14.0;42.0;50.0;57.0;36.0;57.0;57.0;62.0;46.0;21.0;28.0;46.0;68.0;57.0;16.0;51.0;70.0;52.0;50.0;36.0;47.0;36.0;44.0;35.0;1.0;28.0;39.0;60.0;35.0
ANXA2;Annexin A2;28.0;60.0;4.0;25.0;32.0;53.0;60.0;27.0;38.0;64.0;28.0;34.0;58.0;56.0;56.0;35.0;40.0;77.0;72.0;65.0;14.0;39.0;53.0;48.0;78.0;60.0;48.0;44.0;16.0;77.0;42.0;0.0;65.0;50.0;70.0;74.0;49.0;37.0;55.0;65.0;29.0;34.0;51.0;62.0;59.0;42.0;61.0;62.0;68.0;84.0;65.0;64.0;47.0;59.0;70.0;29.0;55.0;52.0;46.0;50.0
MDH2;Malate dehydrogenase, mitochondrial;10.0;13.0;0.0;6.0;20.0;21.0;18.0;3.0;22.0;23.0;21.0;18.0;12.0;33.0;50.0;38.0;58.0;55.0;72.0;25.0;33.0;13.0;16.0;17.0;36.0;17.0;8.0;27.0;26.0;60.0;98.0;26.0;24.0;83.0;41.0;47.0;55.0;45.0;54.0;55.0;27.0;33.0;32.0;48.0;25.0;11.0;21.0;14.0;20.0;39.0;39.0;32.0;9.0;27.0;44.0;12.0;51.0;34.0;65.0;33.0
CORO1A;Coronin-1A;30.0;40.0;18.0;20.0;26.0;24.0;42.0;28.0;35.0;41.0;30.0;45.0;52.0;40.0;55.0;46.0;49.0;57.0;77.0;37.0;24.0;27.0;18.0;32.0;32.0;19.0;26.0;31.0;65.0;65.0;30.0;28.0;50.0;45.0;62.0;66.0;76.0;58.0;45.0;70.0;48.0;26.0;39.0;41.0;53.0;56.0;68.0;48.0;50.0;61.0;57.0;70.0;66.0;65.0;38.0;27.0;72.0;56.0;58.0;38.0
MPO;Myeloperoxidase;0.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0;4.0;0.0;3.0;45.0;3.0;10.0;0.0;39.0;9.0;0.0;2.0;0.0;83.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;22.0;0.0;0.0;31.0;1.0;2.0;7.0;0.0;42.0;0.0;7.0;27.0;15.0;25.0;0.0;4.0;38.0;22.0;0.0;0.0;15.0;17.0;27.0;39.0;0.0;39.0;12.0;11.0
ATP5F1A;ATP synthase subunit alpha, mitochondrial;8.0;30.0;7.0;4.0;28.0;24.0;18.0;5.0;21.0;20.0;24.0;27.0;26.0;21.0;33.0;18.0;37.0;30.0;14.0;4.0;7.0;20.0;20.0;16.0;56.0;13.0;19.0;38.0;24.0;42.0;13.0;17.0;24.0;35.0;32.0;35.0;28.0;42.0;45.0;32.0;19.0;25.0;30.0;49.0;30.0;17.0;41.0;36.0;36.0;23.0;21.0;27.0;20.0;30.0;25.0;4.0;12.0;15.0;52.0;22.0
HNRNPA2B1;Heterogeneous nuclear ribonucleoproteins A2/B1;11.0;15.0;10.0;7.0;13.0;5.0;7.0;11.0;20.0;25.0;21.0;14.0;15.0;32.0;38.0;23.0;39.0;37.0;24.0;14.0;28.0;7.0;9.0;13.0;25.0;15.0;9.0;14.0;27.0;40.0;68.0;30.0;31.0;53.0;48.0;31.0;34.0;42.0;45.0;50.0;19.0;40.0;25.0;30.0;21.0;15.0;28.0;23.0;7.0;19.0;24.0;21.0;18.0;32.0;21.0;56.0;41.0;25.0;40.0;27.0
TUBB4A;Tubulin beta-4A chain;0.16275944;0.44538483;0.0;0.23378761;0.2733822;0.29890135;0.074494615;0.027963907;0.04886171;0.03726355;0.39952686;0.076760635;0.2687039;0.18199942;1.7362549;0.4675752;0.6053912;1.0241616;0.015443288;0.015443288;0.5;0.42307758;0.0618262;0.41791406;0.98315614;0.15934363;0.2912165;0.05494745;0.5463593;0.4453701;0.01717329;0.013733916;0.28605303;0.5412077;0.7074035;1.5823916;0.5841247;0.69194543;1.068649;0.5875552;0.022319086;0.26373097;0.80150515;0.667917;0.37392646;0.38795307;0.17039314;0.2802777;0.37162793;0.3995431;0.68978095;0.71305037;0.14712374;0.4908284;0.7107111;0.01396977;1.6193935;0.37395084;0.16344075;0.034916304
LTF;Lactotransferrin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;61.0;0.0;0.0;0.0;17.0;1.0;0.0;0.0;0.0;43.0;0.0;10.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;2.0;0.0;2.0;7.0;1.0;0.0;0.0;0.0;51.0;0.0;0.0;29.0;14.0;14.0;0.0;0.0;22.0;11.0;0.0;0.0;31.0;3.0;0.0;16.0;0.0;11.0;6.0;7.0
PPIA;Peptidyl-prolyl cis-trans isomerase A;32.0;62.0;31.0;32.0;37.0;32.0;49.0;41.0;56.0;62.0;53.0;36.0;44.0;56.0;78.0;60.0;53.0;65.0;73.0;48.0;69.0;57.0;33.0;41.0;63.0;51.0;34.0;33.0;71.0;38.0;99.8084;53.0;68.0;126.0;66.0;64.0;81.0;74.0;81.0;97.0;43.0;28.0;30.0;43.0;66.0;52.0;58.0;55.0;29.0;42.0;50.0;55.0;51.830784;55.0;62.0;103.83079;85.0;68.0;81.0;41.0
LDHA;L-lactate dehydrogenase A chain;14.6845045;43.01911;4.3872504;14.709801;26.064701;23.67745;24.080875;9.048525;22.064701;28.113226;29.74215;27.403425;25.1294;25.097052;41.403427;26.38725;59.09705;49.371075;55.680683;22.342253;13.007645;23.346075;24.342253;16.342253;34.011467;22.011467;9.007645;25.67686;20.695972;46.36901;13.6845045;5.67686;24.69215;37.695972;38.695972;43.688328;34.361366;64.68068;67.68068;62.69215;39.684505;26.342253;36.67304;27.011467;32.758324;14.0647;33.113228;32.758324;23.74215;31.419601;35.113228;27.09705;30.435776;29.790676;16.725975;4.371075;43.435776;23.725975;37.7745;15.032351
EZR;Ezrin;6.9578447;8.897871;5.314433;8.286082;13.695876;23.791237;18.572166;12.505154;12.162371;20.134022;15.229382;10.505155;8.914948;26.07732;14.2293825;21.886599;12.667526;27.257732;33.526726;22.448936;21.017818;13.466754;20.466753;12.388961;17.682312;16.1734;9.957845;14.173403;16.975662;27.79574;30.640156;14.880053;21.777922;16.837896;35.053455;18.89787;20.466753;13.251195;15.682313;35.71795;11.957845;18.173403;7.9578447;20.664494;14.734536;10.914948;20.07732;9.695877;19.010311;19.886599;16.791237;19.639175;13.762887;20.981958;22.762886;28.98196;22.886599;17.257732;27.077318;21.190722
XRCC6;X-ray repair cross-complementing protein 6;9.0;27.0;0.0;2.0;14.0;19.0;15.0;1.0;5.0;8.0;8.0;16.0;2.0;12.0;26.0;8.0;16.0;40.0;21.0;3.0;0.0;17.0;11.0;7.0;49.0;7.0;4.0;22.0;13.0;20.0;1.0;3.0;12.0;19.0;19.0;17.0;23.0;18.0;24.0;15.0;2.0;11.0;23.0;25.0;14.0;2.0;7.0;6.0;13.0;3.0;9.0;10.0;15.0;12.0;8.0;2.0;26.0;6.0;17.0;5.0
