Protein Set,LUMA1,LUMA2,LUMA3,LUMA4,LUMA5,LUMB1,LUMB2,LUMB3,LUMB4,LUMB5,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,ZDRAVI1,ZDRAVI2,ZDRAVI3,ZDRAVI4,ZDRAVI5,ZDRAVI6,ZDRAVI7,ZDRAVI8,ZDRAVI9,ZDRAVI10
TBB5_HUMAN,38.548386,10.331378,66.208206,49.434017,35.328445,75.48943,28.163143,14.08157,6.655589,48.015106,74.18835,92.71749,117.33633,81.75786,66.098656,110.856514,70.14799,94.80718,31.179373,62.147984,103.50673,108.02691,102.10762,96.417046,24.43946
NUCL_HUMAN,26.0,20.0,27.0,36.0,90.0,72.0,101.0,73.0,36.0,84.0,40.0,44.0,29.0,70.0,69.0,35.0,70.0,52.0,90.0,82.0,52.0,53.0,51.0,65.0,59.0
LDHB_HUMAN,48.113113,49.60807,33.30908,47.113113,109.010086,39.780144,34.19149,65.58865,60.19149,92.98582,44.3397,76.02524,53.710777,89.79877,68.85539,44.16985,92.767395,105.19509,29.597546,90.767395,103.767395,92.081856,106.540924,129.71078,51.798775
ALBU_HUMAN,28.0,16.0,12.0,43.0,40.0,45.0,137.0,91.0,36.0,83.0,31.0,34.0,49.0,22.0,50.0,6.0,11.0,11.0,118.0,39.0,29.0,35.0,18.0,34.0,35.0
EF2_HUMAN,7.0,3.0,4.0,13.0,60.0,23.0,42.0,33.0,15.0,37.0,8.0,17.0,41.0,49.0,49.0,47.0,16.0,36.0,NA,35.0,38.0,34.0,26.993214,32.0,11.0
TPIS_HUMAN,62.0,48.0,63.0,99.0,76.0,110.0,124.0,76.0,38.0,108.0,72.0,76.0,69.0,33.0,56.0,47.0,81.0,26.0,129.0,132.0,88.0,96.0,76.0,79.0,19.0
HS90A_HUMAN,28.693998,42.922207,27.831429,19.473543,53.204887,39.188526,22.048292,37.052895,16.972422,47.703465,47.529,40.538353,66.163895,63.925404,36.161156,80.822876,39.79219,58.796555,32.656227,51.040535,64.92977,66.90457,64.31794,67.30535,24.646374
MDHM_HUMAN,31.0,12.0,21.0,12.0,83.0,95.0,80.0,57.0,28.0,72.0,34.0,44.0,46.0,49.0,67.0,36.0,26.0,60.0,98.0,83.0,41.0,55.0,45.0,55.0,33.0
HBB_HUMAN,87.36603,100.24636,74.28106,161.71681,48.925583,122.87348,110.1586,91.78945,68.50213,103.1353,38.548233,96.94797,45.964832,32.039932,61.739887,21.369858,49.306507,35.91324,156.00604,118.63627,57.519794,122.404594,60.93648,56.693146,195.73938
TBB4B_HUMAN,2.4516127,0.66862166,6.7917886,7.565983,4.671554,9.510573,3.836858,0.918429,0.3444109,7.9848943,8.811659,9.282513,21.663675,14.242152,13.901345,17.1435,9.852018,11.192826,1.8206279,10.852018,17.493275,12.973095,11.892376,13.58296,3.5605383
ACTC_HUMAN,5.8737135,3.4506574,9.539276,8.435963,5.166663,8.120464,4.995489,5.764624,3.0944982,9.6071205,10.069644,12.193542,9.475678,6.716357,8.378407,9.832636,11.333378,10.662127,10.266778,9.719424,14.398394,15.831052,8.287746,11.285661,3.8499577
ANXA2_HUMAN,56.0,24.0,54.0,52.0,69.0,56.0,41.0,76.0,31.0,87.0,60.0,69.0,79.0,64.0,68.0,78.0,16.0,77.0,42.0,50.0,70.0,49.0,37.0,65.0,34.0
HS90B_HUMAN,15.271175,24.99787,25.139605,14.507441,33.741436,25.736023,14.876808,26.869854,14.999365,27.257238,30.3589,30.301311,38.64808,42.78015,24.646454,45.7325,23.08978,45.758812,21.30447,40.828335,39.904163,35.984688,41.367195,47.47162,18.153864
PPIA_HUMAN,50.0,38.0,30.0,92.0,57.0,75.0,92.0,64.0,31.0,96.0,79.0,62.0,59.0,54.0,35.0,63.0,71.0,38.0,99.787186,126.0,66.0,81.0,74.0,97.0,28.0
1433Z_HUMAN,46.238197,35.315907,43.69935,53.238197,81.08279,73.85125,97.91815,72.71744,35.650536,100.40143,67.15123,61.227844,70.76616,63.921387,59.766155,53.53431,61.84277,61.15123,68.227844,62.612923,69.84277,73.68954,63.227848,82.76615,38.998
ROA2_HUMAN,22.0,20.0,4.0,15.0,42.0,47.0,36.0,25.0,23.0,42.0,16.0,29.0,30.0,9.0,30.0,25.0,27.0,40.0,68.0,53.0,48.0,34.0,42.0,50.0,40.0
LMNB1_HUMAN,20.0,12.0,21.64094,NA,14.0,15.0,3.0,1.0,13.0,14.0,27.0,33.0,28.551357,34.0,32.20543,54.0,34.0,35.20543,16.0,26.654074,30.0,50.654076,50.20543,13.551357,14.654074
ATPB_HUMAN,24.0,4.0,31.0,10.0,53.0,38.0,NA,23.0,25.0,44.0,33.0,49.0,57.0,61.0,68.0,70.0,44.0,63.0,22.0,50.0,57.0,57.0,57.0,46.0,28.0
ATPA_HUMAN,13.0,4.0,16.0,2.0,30.0,23.0,NA,11.0,16.0,25.0,26.0,33.0,34.0,55.0,39.0,56.0,24.0,42.0,13.0,35.0,32.0,28.0,42.0,32.0,25.0
K1C10_HUMAN,23.0,45.0,35.0,42.0,20.0,3.0,46.0,37.0,NA,38.0,45.974842,56.955975,5.0,15.0,NA,5.0,NA,NA,30.993711,1.0,1.0,NA,NA,NA,9.0
ACTN4_HUMAN,13.933332,9.233333,4.4333334,6.966666,29.699997,8.5,17.708334,23.541666,12.75,25.791666,12.4,18.24,20.720001,26.08,21.279999,23.039999,5.3199997,20.76,6.84,16.72,25.56,19.76,15.4,40.48,9.360001
CAP1_HUMAN,8.0,15.0,28.0,19.0,31.0,27.0,22.0,17.0,11.0,23.0,13.0,29.0,37.0,37.0,31.0,35.0,26.0,48.0,7.0,35.0,35.0,37.0,29.0,38.0,13.0
ALDOA_HUMAN,15.0,17.0,32.0,28.0,66.94948,35.0,52.0,55.0,37.0,43.0,25.0,55.0,40.0,55.97301,47.0,32.0,55.0,86.0,34.0,47.0,51.0,54.0,38.0,64.0,38.0
PROF1_HUMAN,65.0,48.0,55.0,94.0,85.0,100.0,74.0,75.0,42.0,80.0,76.0,90.0,98.0,71.0,73.0,117.0,82.0,123.0,87.0,96.0,87.0,102.0,93.0,87.0,39.0
XRCC6_HUMAN,4.0,NA,8.0,10.0,34.0,13.0,NA,NA,13.0,20.0,15.0,19.0,17.0,42.0,20.0,49.0,13.0,20.0,1.0,19.0,19.0,23.0,18.0,15.0,11.0
LDHA_HUMAN,14.886888,13.391931,21.690922,16.886887,44.989914,23.219858,14.808511,26.411346,25.80851,29.014185,22.660301,24.974762,36.289223,44.201225,37.14461,33.83015,20.232605,45.80491,13.402455,37.232605,38.232605,33.918144,64.459076,62.289223,26.201227
CH60_HUMAN,5.0,NA,13.0,5.0,32.0,23.0,NA,8.0,13.0,27.0,23.0,35.0,35.0,44.0,33.0,26.0,21.0,49.0,18.0,39.0,29.0,44.0,52.0,34.0,42.0
ACTN1_HUMAN,8.066668,4.766667,2.5666666,4.0333333,19.300001,4.5,7.2916665,8.458333,5.2499995,10.208333,3.6,5.7599998,5.2799997,7.9199996,6.7199993,6.9599996,2.68,7.24,2.1599998,6.2799997,7.4399996,7.24,5.6,11.5199995,2.6399999
COR1A_HUMAN,16.0,26.0,32.0,49.0,53.0,42.0,20.0,51.0,27.0,42.0,53.0,69.0,82.0,56.0,44.0,32.0,65.0,65.0,30.0,45.0,62.0,76.0,58.0,70.0,26.0
EZRI_HUMAN,17.107693,5.8,18.953846,19.476923,36.323074,18.78428,59.11873,35.227425,12.891305,27.115385,18.195267,21.443787,34.91716,25.911243,17.378696,17.786982,17.100592,28.011833,30.822487,16.97633,35.195267,20.568048,13.349112,35.917156,18.254436
BIP_HUMAN,5.2397985,3.4050179,3.0035844,3.6270678,30.243382,27.677343,41.151352,12.544858,10.793814,38.793816,5.705117,10.440733,5.3082147,17.690758,30.440733,5.661663,7.705117,7.7931533,43.79315,18.778418,22.616428,14.3815155,11.38114,16.33731,16.763683
UBA1_HUMAN,1.0,NA,2.0,7.0,25.0,8.0,1.0,2.0,NA,9.0,8.0,14.0,16.0,20.0,25.0,10.0,3.0,16.0,NA,10.0,20.0,18.0,11.0,15.0,4.0
HS71A_HUMAN,25.318008,4.6513224,7.406213,16.4722,30.761547,25.21453,42.83707,17.3834,4.1069183,23.87563,13.435891,10.300819,24.08867,9.382174,21.515793,15.5475,7.290345,4.57213,34.992905,16.277176,18.346682,22.154106,17.051727,18.916656,12.497464
H4_HUMAN,96.0,62.0,116.0,58.0,77.0,83.0,27.0,23.0,49.0,44.0,146.0,119.0,204.0,91.0,105.0,149.0,111.0,115.0,76.0,110.0,127.0,119.0,103.0,66.0,79.0
HNRPK_HUMAN,20.0,15.0,26.0,25.0,21.0,43.0,37.0,22.0,18.0,49.0,23.0,26.0,30.0,24.0,15.0,53.0,28.0,21.0,38.0,47.0,39.0,38.0,38.0,39.0,13.0
TBA4A_HUMAN,17.900002,NA,10.940001,17.9,16.96,24.851065,3.0,5.0,3.0,24.893618,22.885714,39.82857,40.87143,33.928574,22.885714,28.957142,22.9,23.942856,8.985714,20.971428,30.814285,25.87143,53.842857,48.785713,12.985714
TPM3_HUMAN,28.041199,13.786516,19.10487,28.29588,32.913857,34.936043,38.863323,29.249136,18.062283,24.759516,11.102204,22.238476,12.102204,14.136272,16.204409,37.17034,18.75551,22.653307,53.19362,32.306614,20.887007,21.888351,25.619238,23.136272,17.102203
H14_HUMAN,59.5,25.5,45.5,25.5,32.5,46.846558,16.5,12.0,19.173279,28.5,49.939045,44.5,47.939045,27.0,34.5,61.5,60.0,59.0,40.5,46.0,38.5,46.18781,40.0,34.5,36.18781
COF1_HUMAN,31.0,20.0,13.0,25.0,48.0,35.0,25.0,34.0,25.0,29.0,29.0,35.0,28.0,39.0,32.0,75.0,34.0,48.0,38.0,38.0,42.0,34.0,33.0,43.0,25.0
TALDO_HUMAN,19.0,10.0,19.0,19.0,29.0,25.0,19.0,26.0,18.0,25.0,21.0,21.0,25.0,17.0,20.0,29.0,30.0,33.0,14.0,26.0,32.0,20.0,56.0,45.0,19.0
H12_HUMAN,59.5,25.5,45.5,25.5,32.5,45.846558,17.5,12.0,19.173279,28.5,49.939045,44.5,47.939045,27.0,34.5,62.5,60.0,59.0,39.5,46.0,38.5,46.18781,40.0,34.5,36.18781
PLEC_HUMAN,NA,NA,3.0,NA,7.0,12.0,NA,NA,2.0,NA,6.0,11.0,7.0,7.0,10.0,NA,2.0,9.0,NA,4.0,13.0,8.0,15.0,3.0,4.0
TBA1B_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HBD_HUMAN,9.501373,17.643137,3.597395,16.16164,4.986018,18.91252,20.654165,11.023298,24.404245,19.784454,1.2857388,5.8859973,1.8946798,0.85789716,13.209026,1.5535135,1.6424026,1.0356756,20.738533,8.23602,2.3269494,12.403835,1.98689,2.1535988,33.903027
TAGL2_HUMAN,33.0,10.0,20.0,40.0,57.0,40.0,61.0,50.0,33.0,55.0,31.0,36.0,43.0,46.0,50.0,30.0,42.0,51.0,48.0,55.0,64.0,65.0,39.0,65.0,38.0
H2B1B_HUMAN,18.339132,13.095652,16.217392,5.982609,17.58261,7.326316,3.357895,4.8842106,8.936842,11.157895,18.396826,12.047619,23.793652,18.88889,22.444443,46.60318,16.507936,16.873016,7.3015876,13.857143,12.222222,14.968253,22.539682,12.952381,12.952381
K22E_HUMAN,22.506304,33.945988,42.375984,37.526665,16.791466,8.656118,35.083984,25.005135,0.7966102,12.635784,36.588104,66.3977,10.564933,13.29436,NA,0.44444445,0.7407408,1.3590982,12.834769,4.7631626,0.14814815,0.44444445,3.1786215,1.0595405,17.842594
H2B1C_HUMAN,31.660868,16.904346,19.782608,10.017391,28.41739,19.673683,7.642105,11.115789,22.063156,23.842106,23.603176,26.952383,33.206352,33.111115,38.555557,77.396835,31.492064,30.126986,12.698414,26.142859,24.777777,34.03175,38.46032,21.047619,22.047619
LMNA_HUMAN,4.0,NA,19.231544,NA,7.0,25.0,NA,NA,5.0,1.0,20.0,21.0,46.306965,23.0,43.227863,NA,NA,24.227863,6.0,15.9208975,28.0,20.920898,13.227863,1.3069658,3.9208972
HMGB1_HUMAN,32.155174,10.0,11.0,26.577587,13.862069,30.095694,34.68421,29.985645,10.095694,20.492823,32.434925,25.0,20.0,15.429983,23.294891,26.0,51.009884,40.859966,68.5799,41.434925,36.0,40.0,17.0,27.429983,19.574959
1433B_HUMAN,16.107862,15.640386,23.68545,21.221428,44.184776,44.522755,60.879566,39.214024,19.883972,31.079773,32.09091,40.808643,40.146465,21.33774,22.293093,18.778078,36.646156,37.484905,24.984594,46.147083,56.499527,34.588123,42.613903,52.74645,14.83743
TPM4_HUMAN,12.214186,4.356039,3.522472,14.009831,18.535112,14.856345,39.17062,20.825691,8.052983,13.052334,8.226453,7.8617234,7.226453,3.6352706,15.7950115,3.715141,8.408237,4.1817846,25.677834,17.021465,10.327421,9.861724,8.101914,9.306323,8.910664
LMNB2_HUMAN,3.0,NA,7.1275167,NA,2.0,5.0,NA,NA,4.0,1.0,NA,11.0,11.141676,10.0,24.566706,5.0,3.0,7.5667057,5.0,5.4250298,5.0,12.42503,16.566706,0.1416765,6.4250298
TBB3_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TERA_HUMAN,9.0,NA,8.0,7.0,35.0,8.0,51.0,23.0,7.0,21.0,3.0,6.0,17.0,17.0,21.0,NA,NA,10.0,15.0,14.0,11.0,11.0,11.0,16.0,5.0
MYH11_HUMAN,0.022144798,0.012636568,0.025359593,0.026357543,0.025524747,0.051793408,0.0016602103,0.009959426,1.0100433,0.02668767,0.027497388,0.043818768,0.05387307,1.053842,0.03497464,0.05348251,0.029980319,1.0374596,0.011174983,0.030040838,1.0413643,0.046181682,0.054841675,0.04224598,0.017444113
MYL6_HUMAN,37.0,15.0,22.0,29.0,26.0,37.0,43.0,44.0,29.0,63.0,23.0,39.0,32.0,26.0,19.0,38.0,33.0,16.0,26.0,32.0,42.0,42.0,50.0,41.0,9.0
ARP3_HUMAN,10.0,2.0,11.996403,5.9964027,36.0,18.980707,19.0,23.996784,22.990353,22.0,15.984568,34.97222,31.981482,26.993828,28.978395,48.0,16.0,24.990742,11.993827,19.987654,30.984568,15.984568,30.97531,38.962963,17.987654
PTPRC_HUMAN,17.0,8.0,18.0,NA,30.0,18.0,NA,13.0,9.0,35.0,9.0,13.0,16.0,36.0,28.0,18.0,16.0,19.0,3.0,16.0,15.0,23.0,21.0,21.0,15.0
1433E_HUMAN,13.166304,3.3943353,5.0522876,8.166304,22.71024,24.772402,33.300476,24.716248,10.188171,25.168459,15.106595,22.354431,21.478348,12.363091,10.478348,20.34577,9.726183,8.106596,12.35443,10.982678,22.726183,21.230513,14.35443,13.478348,5.610926
DDX17_HUMAN,NA,NA,3.0588236,1.0,8.689543,6.9959183,3.0,NA,NA,NA,9.025974,10.402597,15.896105,14.909091,14.727273,8.545455,6.4285717,7.3376627,3.818182,10.714286,17.12987,22.545454,5.857143,0.71428573,0.71428573
1433T_HUMAN,6.986928,5.1960783,1.882353,3.986928,15.568627,9.928917,31.732977,8.421147,2.983871,20.623657,8.973405,5.873418,9.972019,6.08461,5.9720187,25.662226,6.1692204,12.676215,8.873417,11.577615,15.16922,5.774817,20.062172,25.160772,10.281813
HBA_HUMAN,43.0,59.0,38.0,52.0,22.0,53.0,42.0,30.0,30.0,56.0,16.0,33.0,20.0,11.0,26.0,10.0,25.0,8.0,68.0,68.0,18.0,42.0,16.0,24.0,108.0
TBA1A_HUMAN,6.1,2.0,6.06,7.1,5.04,17.148937,1.0,2.0,2.0,6.106383,18.114285,25.171429,24.12857,15.071428,10.114285,24.042858,16.1,11.057142,5.014286,15.028572,15.185715,11.1285715,22.157143,18.214287,8.014286
HNRPM_HUMAN,7.0,NA,8.0,NA,17.0,16.0,6.0,8.0,2.0,15.0,19.0,12.0,18.0,16.0,32.0,12.0,14.0,27.0,8.0,13.0,17.0,26.0,29.0,17.0,14.0
ANXA5_HUMAN,13.0,3.0,22.0,20.0,44.0,34.0,36.0,46.0,19.0,46.0,24.0,24.0,41.0,28.0,32.0,39.0,4.0,11.0,25.0,15.0,54.0,31.0,20.0,43.0,15.0
ROA3_HUMAN,6.0,2.0,NA,2.0,20.461111,16.0,21.0,14.0,11.0,14.0,5.0,14.0,2.0,16.0,14.0,11.0,12.0,9.0,27.425968,21.0,15.0,10.0,12.0,12.0,7.0
ARP2_HUMAN,8.0,9.0,6.0,8.0,41.0,12.0,5.0,16.0,9.0,15.0,15.0,16.0,29.0,25.0,20.0,25.0,26.0,28.0,9.0,19.0,34.0,19.0,23.0,44.0,13.0
HNRPD_HUMAN,30.87247,16.0,32.82996,35.82996,51.88664,59.67213,36.808743,36.808743,27.836065,53.726776,48.740383,38.775,44.84423,32.861538,35.896156,41.775,51.75769,42.740383,56.809616,52.70577,51.740383,52.723076,53.79231,46.79231,38.878845
WDR1_HUMAN,2.0,NA,NA,NA,22.0,2.0,17.0,20.0,10.0,17.0,4.0,7.0,9.0,19.0,16.0,1.0,3.0,5.0,NA,NA,2.0,3.0,14.0,25.0,4.0
PSME1_HUMAN,5.0,3.0,4.0,11.0,19.0,9.0,25.0,20.0,8.0,20.0,10.0,12.0,10.0,13.0,16.0,19.0,5.0,5.0,8.0,18.0,11.0,14.0,21.0,17.0,6.0
CATA_HUMAN,NA,NA,NA,3.0,9.0,1.0,15.0,16.0,4.0,17.0,NA,1.0,NA,3.0,4.0,NA,NA,NA,33.0,7.0,NA,NA,NA,NA,6.0
HNRPU_HUMAN,7.0,1.0,5.0,5.0,30.0,14.0,16.0,5.0,11.0,19.0,14.0,29.0,16.0,28.0,14.0,7.0,14.0,29.0,12.0,10.0,22.0,23.0,14.0,22.0,11.0
EF1A1_HUMAN,6.965812,4.957265,12.931625,8.957265,13.948719,15.0,1.0,2.0,1.0,12.0,19.0,31.0,29.0,19.0,14.0,43.0,16.0,39.0,9.0,18.0,28.0,20.0,20.0,31.0,12.0
MDHC_HUMAN,3.0,2.0,7.0,9.0,35.0,15.0,13.0,18.0,10.0,16.0,19.0,25.0,31.0,21.0,24.0,17.0,20.0,18.0,11.0,25.0,34.0,30.0,17.0,27.0,11.0
IQGA1_HUMAN,NA,NA,5.0,11.0,12.0,12.0,NA,1.0,NA,13.0,5.0,15.0,20.980518,10.0,4.0,19.0,3.0,17.0,1.0,10.0,15.993506,7.0,12.0,13.0,4.0
RADI_HUMAN,0.84615386,0.33333334,0.5897436,1.1282052,2.871795,3.819398,0.9598662,2.655518,0.3043478,0.5384615,1.3668638,1.1481756,4.9201183,1.9203647,6.6508875,1.0088757,1.204142,2.0828402,1.7573965,1.3343195,2.3668637,1.9763312,7.943787,12.961785,3.781065
ROA1_HUMAN,7.0,NA,1.0,8.0,17.538889,15.0,11.0,8.0,11.0,18.0,14.0,20.0,21.0,14.0,22.0,12.0,13.0,8.0,32.57403,26.0,16.0,13.0,14.0,16.0,11.0
HS71L_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLH1_HUMAN,1.0,NA,4.0,1.0,15.0,10.0,NA,NA,2.0,14.0,2.0,12.0,14.0,10.0,10.0,14.0,3.0,10.0,NA,11.0,22.0,14.0,21.0,15.0,5.0
SRSF1_HUMAN,6.0,2.0,NA,11.0,23.0,16.0,31.0,17.0,3.0,23.0,28.0,11.0,3.0,12.0,18.0,NA,18.0,9.0,61.0,22.0,8.0,6.0,NA,2.0,8.0
RACK1_HUMAN,4.0,2.0,3.0,NA,39.0,2.0,10.0,9.0,8.0,16.0,5.0,9.0,7.0,11.0,6.0,12.0,10.0,12.0,NA,8.0,17.0,11.0,5.0,3.0,3.0
SODC_HUMAN,7.0,NA,2.0,19.0,12.0,20.0,35.0,22.0,9.0,17.0,16.0,15.0,10.0,NA,5.0,8.0,23.0,NA,38.0,26.0,7.0,16.0,14.0,21.0,NA
ACTBL_HUMAN,4.0040526,2.3505573,3.526849,4.178318,4.7862206,6.485207,7.855029,7.0236683,7.1804733,5.754438,7.9172096,7.813023,6.021395,6.917209,7.656744,6.9590697,6.4381394,6.8548837,5.552558,5.8651166,7.3339534,4.969302,11.229767,8.28186,1.6148837
TKT_HUMAN,1.0,NA,NA,NA,26.0,5.0,26.0,7.0,3.0,30.0,NA,12.0,10.0,15.0,20.0,9.0,2.0,NA,7.0,4.0,3.0,3.0,10.0,14.0,10.0
PRDX1_HUMAN,6.639344,5.639344,14.196721,24.639343,24.639343,18.60079,16.20158,15.003952,6.6007905,12.201581,19.273064,22.0,21.909594,27.909594,18.273064,11.273063,17.546125,20.0,35.90959,30.09225,29.273064,30.909594,33.546127,35.0,15.636532
HNRPR_HUMAN,16.106667,NA,9.0,8.702222,28.724445,15.672199,24.684647,12.3443985,8.676349,23.016598,15.831276,19.123457,9.0,13.539095,21.954733,27.07819,9.539095,15.954733,21.954733,15.246914,11.831276,12.539095,10.954733,20.201647,10.954733
HNRPC_HUMAN,30.0,16.0,30.0,12.0,30.0,28.0,19.0,24.0,13.0,37.0,9.0,24.0,20.0,23.0,26.0,46.0,14.0,33.0,36.0,28.0,13.0,30.0,38.0,33.0,15.0
AN32A_HUMAN,20.613636,11.806818,13.210228,11.409091,29.8125,13.200001,29.4,13.400001,11.4,20.0,23.710691,15.710691,18.710691,13.691824,21.201258,22.201258,17.855347,8.0188675,25.056604,24.383648,21.547169,20.547169,10.855346,17.18239,12.0188675
SPTN1_HUMAN,NA,2.0,1.0,NA,14.0,NA,NA,NA,NA,6.0,NA,7.0,NA,8.0,6.0,NA,9.0,5.0,NA,4.0,5.0,14.0,12.0,3.0,2.0
PCBP1_HUMAN,10.458065,0.86451614,8.593548,9.458065,9.593548,15.3354435,3.734177,NA,NA,17.734177,15.342222,21.355556,35.026665,22.848888,16.342222,22.342222,16.52,21.355556,3.8355556,15.013333,23.013332,18.355556,19.177778,12.177778,5.5066667
MYH14_HUMAN,1.5160611,1.3095958,6.5418506,0.6192733,4.3869777,2.5599768,0.024349751,0.14607157,0.09738554,5.316547,0.37747368,2.542603,6.636984,8.660557,4.495379,14.943681,0.42464936,0.5425934,0.21232468,4.377474,1.4718056,3.6841495,9.872852,4.7785106,2.2831125
PGAM1_HUMAN,4.0,NA,NA,8.0,8.0,18.0,35.0,26.0,4.0,20.0,6.0,16.0,12.0,11.0,5.0,4.0,6.0,2.0,39.0,19.0,16.0,18.0,18.0,15.0,NA
XRCC5_HUMAN,NA,NA,3.0,NA,15.0,2.0,NA,3.0,NA,8.0,NA,11.0,5.0,14.0,7.0,4.0,2.0,7.0,1.0,NA,11.0,2.0,17.0,19.0,2.0
CLIC1_HUMAN,6.0,2.0,2.0,17.0,21.0,19.0,19.0,13.0,5.0,17.0,26.0,17.0,21.0,9.0,11.0,21.0,6.0,17.0,14.0,14.0,24.0,9.0,NA,27.0,5.0
