Protein Set	Description	K02	K04	K05	K07	K10	K12	K18	K20	K23	K24	K26	K27	K31	K32	K35	K41	K03	K06	K08	K09	K11	K13	K14	K15	K19	K22	K28	K29	K38	K40	K42	K43	K44	Z01	Z03	Z05	Z07	Z09	Z16	Z17	Z18	Z19	Z20	Z23	Z02	Z06	Z10	Z11	Z12	Z13	Z14	Z15	Z21	Z22	Z04	Z08	Z25
RAB9A	na	2.0	3.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	3.0	0.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	1.0	2.0	1.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	2.0	2.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0
RDH11	na	9.0	9.0	10.0	9.0	9.0	9.0	9.0	4.0	7.0	6.0	8.0	6.0	9.0	7.0	6.0	10.0	8.0	6.0	2.0	9.0	10.0	8.0	10.0	10.0	1.0	8.0	8.0	10.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	9.0	9.0	10.0	10.0	9.0	10.0	8.0	7.0	7.0	10.0	9.0	5.0	2.0	9.0	9.0	10.0	10.0	7.0	8.0	10.0	9.0	10.0
CKAP5	na	45.0	51.0	49.0	49.0	44.0	48.0	43.0	11.0	30.0	35.0	35.0	27.0	49.0	43.0	36.0	50.0	31.0	30.0	17.0	46.0	47.0	38.0	46.0	46.0	10.0	40.0	31.0	45.0	46.0	39.0	48.0	45.0	47.0	43.0	48.0	38.0	50.0	53.0	50.0	55.0	51.0	50.0	29.0	53.0	45.0	32.0	15.0	20.0	37.0	41.0	45.0	45.0	42.0	46.0	51.0	49.0	48.0
ABCF3	na	13.0	12.0	15.0	10.0	12.0	12.0	13.0	5.0	9.0	10.0	10.0	7.0	14.0	7.0	10.0	16.0	7.0	11.0	2.0	13.0	14.0	9.0	11.0	14.0	2.0	9.0	7.0	15.0	10.0	10.0	15.0	11.0	15.0	11.0	11.0	12.0	11.0	13.0	12.0	15.0	13.0	11.0	6.0	8.0	9.0	9.0	3.0	3.0	7.0	9.0	13.0	13.0	14.0	12.0	16.0	12.0	12.0
SNU13	na	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
MCU	na	6.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	6.0	6.0	4.0	4.0	0.0	5.0	5.0	4.0	5.0	5.0	1.0	4.0	3.0	5.0	4.0	5.0	5.0	4.0	5.0	6.0	7.0	6.0	7.0	8.0	7.0	7.0	8.0	6.0	6.0	7.0	6.0	6.0	2.0	4.0	7.0	6.0	6.0	7.0	7.0	8.0	8.0	6.0	7.0
PCNT	na	3.0	5.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	2.0	4.0	5.0	4.0	3.0	2.0	2.0	1.0	5.0	4.0	3.0	4.0	3.0	2.0	2.0	1.0	3.0	4.0	3.0	5.0	4.0	4.0	3.0	3.0	2.0	3.0	5.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0
SLC25A3	na	19.0	20.0	18.0	20.0	18.0	17.0	19.0	13.0	16.0	14.0	19.0	17.0	18.0	16.0	17.0	20.0	17.0	18.0	9.0	18.0	19.0	16.0	20.0	19.0	11.0	17.0	13.0	21.0	17.0	18.0	21.0	18.0	19.0	21.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	20.0	19.0	16.0	15.0	16.0	16.0	19.0	19.0	20.0	18.0	19.0	21.0	21.0	20.0
TPM4	na	30.0	27.0	27.0	31.0	25.0	21.0	27.0	29.0	25.0	24.0	31.0	33.0	25.0	34.0	30.0	25.0	24.0	27.0	31.0	22.0	21.0	24.0	23.0	24.0	33.0	24.0	20.0	23.0	23.0	30.0	28.0	31.0	24.0	28.0	24.0	22.0	21.0	19.0	25.0	21.0	20.0	24.0	24.0	26.0	23.0	24.0	25.0	28.0	20.0	20.0	21.0	22.0	23.0	23.0	22.0	26.0	22.0
HLA-B	na	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHB1	na	16.0	18.0	16.0	18.0	16.0	16.0	17.0	16.0	15.0	16.0	17.0	17.0	17.0	18.0	17.0	17.0	16.0	16.0	17.0	16.0	15.0	16.0	17.0	16.0	15.0	16.0	16.0	17.0	16.0	18.0	19.0	19.0	17.0	19.0	17.0	17.0	17.0	17.0	19.0	19.0	19.0	20.0	16.0	19.0	17.0	18.0	16.0	16.0	15.0	19.0	16.0	18.0	18.0	15.0	20.0	18.0	19.0
ZC3HC1	na	9.0	11.0	8.0	10.0	10.0	11.0	10.0	2.0	4.0	6.0	7.0	6.0	11.0	10.0	7.0	12.0	7.0	10.0	4.0	8.0	9.0	11.0	8.0	10.0	3.0	7.0	8.0	10.0	9.0	8.0	11.0	7.0	10.0	6.0	10.0	6.0	9.0	12.0	9.0	10.0	10.0	10.0	6.0	8.0	7.0	7.0	4.0	2.0	6.0	8.0	9.0	10.0	9.0	10.0	9.0	10.0	10.0
UBR1	na	8.0	9.0	7.0	9.0	7.0	8.0	7.0	1.0	4.0	4.0	6.0	6.0	4.0	6.0	4.0	9.0	8.0	8.0	1.0	8.0	8.0	4.0	8.0	8.0	1.0	7.0	4.0	9.0	5.0	7.0	10.0	7.0	8.0	11.0	10.0	11.0	8.0	10.0	10.0	11.0	10.0	10.0	6.0	7.0	7.0	3.0	0.0	1.0	5.0	5.0	8.0	9.0	8.0	9.0	6.0	7.0	8.0
WAC	na	4.0	5.0	4.0	3.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	4.0	4.0	1.0	2.0	3.0	0.0	3.0	2.0	3.0	2.0	2.0	5.0	3.0	5.0	2.0	1.0	1.0	1.0	4.0	1.0	2.0	3.0	2.0	1.0	4.0	3.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	3.0	2.0	4.0	2.0	5.0
WASHC2C	na	14.0	15.0	15.0	15.0	13.0	14.0	9.0	13.0	14.0	14.0	17.0	15.0	14.0	14.0	17.0	14.0	14.0	17.0	12.0	14.0	12.0	10.0	16.0	12.0	18.0	16.0	11.0	14.0	15.0	13.0	16.0	13.0	13.0	11.0	9.0	11.0	13.0	15.0	15.0	12.0	11.0	13.0	14.0	12.0	14.0	12.0	17.0	15.0	12.0	12.0	15.0	14.0	15.0	14.0	12.0	15.0	16.0
LMNA	na	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FLNA	na	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0
ISOC2	na	3.0	3.0	4.0	3.0	4.0	4.0	1.0	0.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	1.0	4.0	4.0	2.0	4.0	3.0	1.0	4.0	0.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	3.0	0.0	1.0	3.0	4.0	3.0	5.0	4.0	5.0	4.0	4.0	4.0
COX4NB	na	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	3.0	4.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0
DYNC1I2	na	15.0	16.0	15.0	18.0	13.0	14.0	12.0	14.0	13.0	14.0	20.0	18.0	14.0	14.0	17.0	17.0	13.0	17.0	8.0	15.0	14.0	13.0	16.0	17.0	8.0	12.0	11.0	17.0	17.0	15.0	17.0	19.0	18.0	20.0	17.0	16.0	16.0	16.0	19.0	17.0	16.0	15.0	14.0	19.0	13.0	15.0	10.0	10.0	14.0	16.0	17.0	15.0	17.0	17.0	17.0	18.0	17.0
RAP1GDS1	na	25.0	22.0	20.0	21.0	23.0	22.0	22.0	10.0	14.0	15.0	23.0	21.0	22.0	16.0	21.0	23.0	22.0	20.0	7.0	20.0	22.0	19.0	24.0	22.0	13.0	18.0	16.0	22.0	21.0	23.0	22.0	23.0	21.0	23.0	20.0	24.0	19.0	24.0	24.0	25.0	24.0	25.0	15.0	18.0	20.0	19.0	14.0	13.0	17.0	22.0	25.0	24.0	20.0	22.0	24.0	22.0	25.0
RNH1	na	26.0	27.0	23.0	27.0	23.0	23.0	25.0	24.0	20.0	18.0	26.0	27.0	23.0	27.0	23.0	24.0	25.0	25.0	15.0	23.0	23.0	22.0	27.0	25.0	20.0	22.0	17.0	25.0	26.0	27.0	27.0	27.0	27.0	25.0	26.0	26.0	27.0	27.0	27.0	27.0	26.0	27.0	24.0	27.0	27.0	26.0	23.0	22.0	21.0	25.0	28.0	26.0	24.0	25.0	26.0	26.0	26.0
COMMD9	na	4.0	7.0	8.0	6.0	5.0	8.0	2.0	3.0	2.0	5.0	5.0	5.0	6.0	5.0	5.0	8.0	4.0	7.0	2.0	6.0	5.0	2.0	4.0	5.0	2.0	3.0	4.0	5.0	3.0	5.0	6.0	4.0	5.0	5.0	3.0	3.0	5.0	6.0	6.0	7.0	7.0	4.0	1.0	3.0	4.0	4.0	4.0	1.0	5.0	7.0	6.0	7.0	5.0	6.0	8.0	7.0	6.0
CD3D	na	7.0	6.0	6.0	5.0	7.0	7.0	4.0	5.0	7.0	7.0	6.0	6.0	7.0	6.0	6.0	7.0	6.0	3.0	3.0	7.0	7.0	6.0	6.0	7.0	2.0	6.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	4.0	6.0	5.0	6.0	6.0	4.0	7.0	6.0	6.0	6.0	7.0	6.0	7.0	7.0	6.0
HSP90AB4P	na	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0
SSR1	na	2.0	3.0	3.0	4.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	4.0	2.0	4.0	2.0	1.0	2.0	2.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	4.0	3.0	2.0	4.0	3.0	2.0	2.0	2.0	3.0	5.0	3.0	4.0	4.0	5.0	5.0	3.0	5.0
COPG2	na	9.0	8.0	7.0	9.0	8.0	9.0	10.0	4.0	7.0	5.0	4.0	8.0	8.0	5.0	6.0	12.0	9.0	10.0	5.0	12.0	9.0	4.0	4.0	10.0	3.0	7.0	6.0	6.0	8.0	8.0	9.0	9.0	11.0	10.0	8.0	9.0	6.0	7.0	11.0	7.0	10.0	10.0	2.0	5.0	8.0	6.0	3.0	3.0	1.0	4.0	10.0	10.0	3.0	8.0	9.0	9.0	10.0
NDUFS3	na	13.0	15.0	11.0	16.0	12.0	14.0	10.0	10.0	10.0	11.0	15.0	15.0	13.0	15.0	13.0	14.0	13.0	15.0	5.0	14.0	12.0	10.0	13.0	13.0	9.0	9.0	7.0	13.0	13.0	13.0	15.0	16.0	14.0	15.0	14.0	13.0	14.0	13.0	14.0	14.0	15.0	14.0	14.0	14.0	14.0	11.0	10.0	9.0	10.0	12.0	14.0	14.0	12.0	13.0	14.0	14.0	15.0
THEMIS	na	13.0	13.0	15.0	12.0	12.0	14.0	12.0	7.0	6.0	8.0	11.0	11.0	11.0	9.0	10.0	16.0	11.0	14.0	4.0	10.0	15.0	9.0	15.0	14.0	8.0	10.0	10.0	15.0	14.0	13.0	14.0	15.0	16.0	14.0	12.0	13.0	14.0	20.0	14.0	18.0	16.0	16.0	9.0	16.0	12.0	12.0	7.0	8.0	13.0	11.0	18.0	16.0	13.0	15.0	19.0	14.0	16.0
PPP4R2	na	15.0	19.0	16.0	17.0	13.0	14.0	17.0	12.0	11.0	13.0	18.0	19.0	18.0	14.0	17.0	20.0	11.0	17.0	5.0	12.0	15.0	11.0	15.0	15.0	10.0	13.0	11.0	18.0	14.0	13.0	19.0	18.0	18.0	14.0	14.0	14.0	13.0	16.0	16.0	16.0	17.0	16.0	11.0	16.0	13.0	13.0	12.0	12.0	13.0	15.0	16.0	18.0	16.0	17.0	16.0	18.0	18.0
GSTK1	na	14.0	14.0	14.0	15.0	13.0	14.0	13.0	10.0	12.0	11.0	12.0	13.0	14.0	16.0	13.0	15.0	14.0	13.0	11.0	13.0	11.0	14.0	15.0	14.0	12.0	11.0	11.0	13.0	12.0	15.0	14.0	15.0	14.0	16.0	14.0	15.0	14.0	15.0	15.0	15.0	15.0	15.0	14.0	15.0	14.0	16.0	13.0	13.0	12.0	13.0	13.0	14.0	15.0	13.0	15.0	15.0	14.0
NUDT2	na	4.0	5.0	3.0	5.0	4.0	3.0	2.0	3.0	3.0	3.0	5.0	5.0	4.0	3.0	4.0	5.0	3.0	4.0	2.0	3.0	4.0	2.0	2.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	5.0	3.0	3.0
TRIM22	na	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0
ZNF638	na	15.0	15.0	15.0	16.0	12.0	10.0	10.0	9.0	13.0	13.0	13.0	12.0	14.0	19.0	16.0	16.0	8.0	16.0	12.0	12.0	12.0	9.0	11.0	15.0	8.0	10.0	8.0	15.0	11.0	10.0	14.0	12.0	14.0	11.0	12.0	13.0	13.0	10.0	14.0	12.0	11.0	9.0	12.0	13.0	12.0	7.0	11.0	12.0	8.0	11.0	9.0	13.0	12.0	11.0	11.0	12.0	14.0
LOC51035	na	12.0	11.0	11.0	11.0	8.0	11.0	11.0	10.0	10.0	11.0	14.0	14.0	12.0	12.0	11.0	12.0	11.0	11.0	8.0	12.0	12.0	9.0	13.0	11.0	10.0	12.0	10.0	12.0	10.0	11.0	13.0	12.0	14.0	14.0	11.0	11.0	11.0	13.0	14.0	12.0	11.0	12.0	13.0	12.0	11.0	11.0	12.0	9.0	10.0	12.0	10.0	12.0	13.0	10.0	13.0	13.0	12.0
MAPK8	na	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
USP4	na	8.0	12.0	9.0	12.0	8.0	11.0	8.0	2.0	2.0	2.0	7.0	9.0	10.0	7.0	5.0	11.0	7.0	9.0	1.0	10.0	8.0	5.0	11.0	11.0	4.0	7.0	4.0	11.0	10.0	9.0	12.0	9.0	10.0	9.0	8.0	8.0	13.0	12.0	11.0	12.0	13.0	11.0	7.0	9.0	10.0	7.0	1.0	1.0	5.0	11.0	13.0	12.0	8.0	12.0	13.0	12.0	10.0
GLRX	na	7.0	6.0	6.0	7.0	6.0	6.0	6.0	6.0	5.0	5.0	7.0	6.0	6.0	7.0	6.0	5.0	6.0	6.0	5.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	6.0	6.0	5.0	6.0	7.0	6.0	7.0	6.0	7.0	7.0	6.0	6.0	6.0	4.0	7.0	6.0	5.0	5.0	6.0	5.0	6.0	6.0
SRSF8	na	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0
SFRS4	na	11.0	10.0	9.0	12.0	10.0	10.0	8.0	12.0	11.0	10.0	12.0	12.0	9.0	12.0	12.0	11.0	10.0	10.0	12.0	11.0	8.0	10.0	10.0	10.0	12.0	12.0	9.0	10.0	8.0	12.0	12.0	12.0	9.0	11.0	9.0	9.0	11.0	10.0	10.0	10.0	11.0	11.0	11.0	11.0	11.0	12.0	12.0	12.0	11.0	10.0	11.0	11.0	10.0	9.0	10.0	11.0	9.0
GAPD	na	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
HMGN1	na	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
MPHOSPH10	na	7.0	8.0	6.0	9.0	5.0	5.0	1.0	3.0	4.0	6.0	7.0	9.0	7.0	9.0	7.0	7.0	5.0	8.0	2.0	7.0	7.0	4.0	7.0	7.0	6.0	5.0	5.0	4.0	6.0	5.0	5.0	6.0	8.0	7.0	5.0	7.0	5.0	6.0	7.0	6.0	8.0	8.0	3.0	7.0	4.0	4.0	6.0	5.0	2.0	6.0	5.0	6.0	7.0	3.0	5.0	9.0	8.0
GPN1	na	4.0	3.0	4.0	3.0	3.0	4.0	4.0	0.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0
SEC61B	na	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0
NIFK	na	12.0	11.0	7.0	8.0	11.0	7.0	5.0	5.0	9.0	10.0	12.0	12.0	9.0	11.0	11.0	9.0	4.0	11.0	6.0	11.0	13.0	8.0	13.0	9.0	8.0	7.0	6.0	13.0	9.0	6.0	10.0	11.0	10.0	8.0	7.0	9.0	8.0	12.0	11.0	12.0	11.0	10.0	4.0	7.0	6.0	5.0	9.0	8.0	4.0	12.0	11.0	8.0	12.0	12.0	11.0	11.0	11.0
