NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Details ...	39	-0.269261	-0.8949861	0.6648412	1.0	1.0	73	tags=18%, list=16%, signal=20%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	14	-0.33336845	-0.89224064	0.59900373	1.0	1.0	198	tags=50%, list=42%, signal=84%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	42	-0.2437977	-0.82794327	0.7236126	1.0	1.0	73	tags=17%, list=16%, signal=18%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	87	-0.21404225	-0.7925252	0.8288934	1.0	1.0	46	tags=11%, list=10%, signal=10%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	21	-0.26404172	-0.78490335	0.7395833	1.0	1.0	122	tags=29%, list=26%, signal=37%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	17	-0.2762866	-0.78384423	0.76334107	1.0	1.0	110	tags=24%, list=24%, signal=30%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	26	-0.24378689	-0.7489008	0.81006867	1.0	1.0	141	tags=35%, list=30%, signal=47%	
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Details ...	15	-0.26896158	-0.74678415	0.7879902	1.0	1.0	116	tags=33%, list=25%, signal=43%	
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	Details ...	10	-0.30292368	-0.74304706	0.79646015	1.0	1.0	238	tags=60%, list=51%, signal=120%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Details ...	13	-0.27464876	-0.7262555	0.82057714	1.0	1.0	164	tags=46%, list=35%, signal=69%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	28	-0.21976922	-0.68333274	0.88641423	1.0	1.0	60	tags=14%, list=13%, signal=15%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	23	-0.22382365	-0.67345655	0.87370837	1.0	1.0	104	tags=26%, list=22%, signal=32%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION	Details ...	19	-0.22443797	-0.6497793	0.8852459	1.0	1.0	141	tags=32%, list=30%, signal=43%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	127	-0.17080118	-0.63633174	0.96475327	1.0	1.0	169	tags=32%, list=36%, signal=37%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	33	-0.18694803	-0.59760314	0.94285715	1.0	1.0	141	tags=27%, list=30%, signal=36%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	12	-0.22166415	-0.57054085	0.95465994	1.0	1.0	141	tags=33%, list=30%, signal=47%	
REACTOME_DISEASES_OF_METABOLISM	REACTOME_DISEASES_OF_METABOLISM	Details ...	29	-0.17775738	-0.5576392	0.956278	1.0	1.0	7	tags=3%, list=2%, signal=3%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	24	-0.17000993	-0.5233878	0.9733488	1.0	1.0	60	tags=13%, list=13%, signal=14%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	23	-0.16596754	-0.5004237	0.9839634	0.98135185	1.0	259	tags=61%, list=56%, signal=130%	
