NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	Details ...	11	-0.37437832	-1.1265956	0.3253012	0.95419824	0.873	116	tags=45%, list=25%, signal=59%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	40	-0.349858	-1.1060083	0.35756385	0.9317003	0.878	106	tags=33%, list=23%, signal=38%	
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	Details ...	11	-0.41142273	-1.1005294	0.37911025	0.8760705	0.879	110	tags=36%, list=24%, signal=46%	
REACTOME_CELL_JUNCTION_ORGANIZATION	REACTOME_CELL_JUNCTION_ORGANIZATION	Details ...	11	-0.39933473	-1.0905418	0.35437882	0.8421547	0.889	123	tags=36%, list=26%, signal=48%	
REACTOME_DISEASES_OF_GLYCOSYLATION	REACTOME_DISEASES_OF_GLYCOSYLATION	Details ...	16	-0.32166716	-1.0750318	0.34249473	0.82242924	0.894	116	tags=25%, list=25%, signal=32%	
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	Details ...	15	-0.33207503	-0.9805344	0.47474748	1.0	0.927	7	tags=7%, list=2%, signal=7%	
REACTOME_AMYLOID_FIBER_FORMATION	REACTOME_AMYLOID_FIBER_FORMATION	Details ...	15	-0.32828116	-0.9582817	0.5245283	0.99638957	0.941	59	tags=20%, list=13%, signal=22%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	14	-0.33336845	-0.94951	0.49899396	0.9602506	0.941	198	tags=50%, list=42%, signal=84%	
REACTOME_PROGRAMMED_CELL_DEATH	REACTOME_PROGRAMMED_CELL_DEATH	Details ...	11	-0.3588547	-0.9027817	0.57528955	1.0	0.954	42	tags=18%, list=9%, signal=20%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION	Details ...	16	-0.3368082	-0.89888746	0.5978062	0.974728	0.954	14	tags=13%, list=3%, signal=12%	
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Details ...	15	-0.26896158	-0.8831039	0.6385069	0.9634985	0.959	116	tags=33%, list=25%, signal=43%	
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	17	-0.2762866	-0.8813991	0.6035398	0.9234902	0.959	110	tags=24%, list=24%, signal=30%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	Details ...	39	-0.269261	-0.86250746	0.60162604	0.9178363	0.962	73	tags=18%, list=16%, signal=20%	
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	Details ...	10	-0.30292368	-0.8180292	0.69449717	0.96981615	0.971	238	tags=60%, list=51%, signal=120%	
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	Details ...	42	-0.2437977	-0.80260175	0.6660156	0.95906556	0.972	73	tags=17%, list=16%, signal=18%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	21	-0.26404172	-0.80196375	0.6875	0.9234404	0.972	122	tags=29%, list=26%, signal=37%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	87	-0.21404225	-0.79134655	0.76086956	0.9107136	0.975	46	tags=11%, list=10%, signal=10%	
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Details ...	28	-0.21976922	-0.7759551	0.7509434	0.9029417	0.977	60	tags=14%, list=13%, signal=15%	
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	Details ...	26	-0.24378689	-0.72084945	0.8003914	0.9662288	0.989	141	tags=35%, list=30%, signal=47%	
REACTOME_MEMBRANE_TRAFFICKING	REACTOME_MEMBRANE_TRAFFICKING	Details ...	23	-0.22382365	-0.6948712	0.86629003	0.97397804	0.99	104	tags=26%, list=22%, signal=32%	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	Details ...	13	-0.27464876	-0.67800957	0.8185484	0.9686329	0.991	164	tags=46%, list=35%, signal=69%	
REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	Details ...	33	-0.18694803	-0.6555823	0.9532164	0.9727243	0.993	141	tags=27%, list=30%, signal=36%	
REACTOME_LEISHMANIA_INFECTION	REACTOME_LEISHMANIA_INFECTION	Details ...	19	-0.22443797	-0.64429367	0.872093	0.9577136	0.994	141	tags=32%, list=30%, signal=43%	
REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INNATE_IMMUNE_SYSTEM	Details ...	127	-0.17080118	-0.6417159	0.92607003	0.9328617	0.994	169	tags=32%, list=36%, signal=37%	
REACTOME_DISEASES_OF_METABOLISM	REACTOME_DISEASES_OF_METABOLISM	Details ...	29	-0.17775738	-0.6050025	0.9185606	0.9503857	0.996	7	tags=3%, list=2%, signal=3%	
REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	Details ...	24	-0.17000993	-0.564981	0.9514019	0.96418417	0.998	60	tags=13%, list=13%, signal=14%	
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Details ...	12	-0.22166415	-0.52813894	0.95884776	0.9654455	0.999	141	tags=33%, list=30%, signal=47%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	23	-0.16596754	-0.50350934	0.98170733	0.9549537	0.999	259	tags=61%, list=56%, signal=130%	
